# Restored Portuguese Translations

After comparing the current pt.json file with the backup pt.json.backup file, I've identified the following translations that were accidentally removed and need to be restored:

## Keys to Restore:

1. "common.all" - "Todos"
2. "common.cancel" - "Cancelar"
3. "common.email" - "Email"
4. "common.none" - "Nenhum"
5. "settings.companyProfile.emailSubjectPrefix" - "Prefixo do assunto do email (opcional)"
6. "settings.companyProfile.emailSubjectPrefix.placeholder" - "ex. Munchythief, Lda"
7. "settings.companyProfile.emailSubjectPrefix.helper" - "Usado no início dos assuntos dos lembretes. Se não definido, usa o nome Comercial/Legal/Empresa."
8. "settings.companyProfile.preferredLang" - "Idioma preferido para emails aos clientes"
9. "settings.companyProfile.preferredLang.auto" - "Automático (baseado no país)"
10. "settings.companyProfile.preferredLang.helper" - "Usado por lembretes/resumos. Se vazio, adivinhamos pelo país da empresa."
11. "settings.revenueSources.title" - "Fontes de Receita"
12. "settings.revenueSources.ordersSource" - "Fonte de Pedidos/Faturas (tabela ou vista)"
13. "settings.revenueSources.ordersSource.placeholder" - "ex. \"sales_orders\" ou \"orders_view\""
14. "settings.revenueSources.ordersSource.helper" - "A tabela/vista deve incluir: id, customer_id/customerId, status, currency_code/currencyCode, total/grand_total/net_total, e uma coluna de data created_at/createdAt."
15. "settings.revenueSources.cashSales" - "Fonte de vendas a dinheiro/POS (tabela ou vista)"
16. "settings.revenueSources.cashSales.placeholder" - "ex. \"cash_sales_view\""
17. "settings.revenueSources.dateCol" - "Coluna de data"
18. "settings.revenueSources.dateCol.placeholder" - "created_at"
19. "settings.revenueSources.customerCol" - "Coluna de cliente"
20. "settings.revenueSources.customerCol.placeholder" - "customer_id"
21. "settings.revenueSources.amountCol" - "Coluna de montante"
22. "settings.revenueSources.amountCol.placeholder" - "amount"
23. "settings.revenueSources.currencyCol" - "Coluna de moeda (opcional)"
24. "settings.revenueSources.currencyCol.placeholder" - "currency_code"
25. "settings.revenueSources.cashSales.helper" - "Incluiremos vendas a dinheiro/visitantes em Relatórios → Receita e no Resumo Diário."
26. "settings.dueReminders.title" - "Lembrete de Vencimentos"
27. "settings.dueReminders.enable" - "Activar Lembrete de Vencimentos"
